character,"[[180, 1]]"
except,"[[368, 1]]"
littl,"[[424, 1]]"
add,"[[39, 1], [61, 1], [103, 1], [142, 1], [233, 1], [237, 1], [250, 1], [334, 1], [345, 1], [422, 1]]"
exercis,"[[106, 1]]"
els,"[[13, 1]]"
real,"[[132, 1], [276, 1]]"
preserv,"[[249, 1]]"
Of,"[[71, 1]]"
intuit,"[[58, 1]]"
bia,"[[352, 1], [383, 1]]"
realiz,"[[34, 1]]"
know,"[[1, 1], [133, 1], [173, 1], [231, 1], [238, 1], [339, 1], [340, 1], [392, 1]]"
background,"[[10, 1], [28, 1], [35, 1], [111, 2], [112, 1], [121, 1], [130, 1], [154, 1], [219, 1], [223, 1], [226, 1], [256, 1], [285, 1], [296, 1], [304, 1]]"
Or,"[[181, 1]]"
like,"[[9, 1], [23, 1], [36, 1], [76, 1], [83, 1], [96, 1], [108, 1], [198, 1], [245, 1], [254, 1], [257, 1], [290, 1], [297, 1], [314, 1], [363, 1], [391, 1], [397, 1], [400, 1], [411, 1], [420, 1], [426, 1], [441, 1], [444, 1]]"
specif,"[[3, 1], [326, 1]]"
collect,"[[114, 1], [131, 1], [183, 1], [252, 1], [322, 1], [439, 1]]"
popular,"[[138, 1], [205, 1]]"
right,"[[57, 1], [151, 1], [177, 1], [320, 1], [396, 1], [424, 1], [444, 1]]"
often,"[[51, 1], [77, 1], [80, 1], [290, 1], [419, 1]]"
deal,"[[107, 1]]"
back,"[[262, 1]]"
proper,"[[65, 1]]"
guess,"[[11, 1], [241, 1], [332, 1], [386, 1], [432, 1]]"
for,"[[60, 1], [108, 1], [379, 1]]"
bottom,"[[202, 1]]"
avoid,"[[309, 1]]"
though,"[[234, 1]]"
achiev,"[[248, 1], [315, 1]]"
estim,"[[10, 1], [37, 1], [41, 1], [63, 1], [84, 1], [98, 1], [117, 1], [124, 1], [130, 1], [142, 1], [170, 1], [215, 1], [219, 1], [222, 1], [246, 1], [262, 1], [290, 1], [317, 1], [336, 1], [357, 2], [366, 1], [394, 1], [443, 1]]"
inject,"[[446, 1]]"
condit,"[[49, 1], [73, 1]]"
